Entrytype,ICAO,Proctype,Routetype,Procident,Transident,SCT_Hide,Waypoints,Drawcoordinates,Runway,Routetext
"Custom","LOWW","SID","5","VISUAL",,"yes","LOWW",,"ALL",
"Custom","LOWW","SID","5","VECTOR",,"yes","LOWW",,"ALL",
"Custom","LOWG","SID","5","VISUAL",,"yes","LOWG",,"ALL",
"Custom","LOWG","SID","5","VECTOR",,"yes","LOWG",,"ALL",
"Custom","LOWI","SID","5","VISUAL",,"yes","LOWI",,"ALL",
"Custom","LOWI","SID","5","VECTOR",,"yes","LOWI",,"ALL",
"Custom","LOWK","SID","5","VISUAL",,"yes","LOWK",,"ALL",
"Custom","LOWK","SID","5","VECTOR",,"yes","LOWK",,"ALL",
"Custom","LOWL","SID","5","VISUAL",,"yes","LOWL",,"ALL",
"Custom","LOWL","SID","5","VECTOR",,"yes","LOWL",,"ALL",
"Custom","LOWS","SID","5","VISUAL",,"yes","LOWS",,"ALL",
"Custom","LOWS","SID","5","VECTOR",,"yes","LOWS",,"ALL",
"Custom","LOWI","SID","5","MOGTI3H",,"No","WI505 WI506 WI507 WI802 MOGTI","47.252422|11.268569 47.290192|11.139242 47.305667|11.086042 47.296364|10.839597 47.388981|10.716836","26",
"Custom","LOWI","SID","5","RTT4H",,"No","RUM OEJ D063G RTT","47.275933|11.464997 47.314825|11.602231 47.359975|11.760319 47.430922|11.940053","26",
"Custom","LOWI","SID","5","OBEDI4H",,"No","RUM OEJ D063G RTT OBEDI","47.275933|11.464997 47.314825|11.602231 47.359975|11.760319 47.430922|11.940053 47.327897|13.329747","26",
"Custom","LOWI","SID","5","UNKEN3H",,"No","RUM OEJ D063G RTT UNKEN","47.275933|11.464997 47.314825|11.602231 47.359975|11.760319 47.430922|11.940053 47.821667|12.601111","26",
"Custom","LOWI","SID","5","KOGOL4H",,"No","RUM OEJ D063G RTT KOGOL","47.275933|11.464997 47.314825|11.602231 47.359975|11.760319 47.430922|11.940053 47.622222|11.399722","26",
"Custom","LOWI","SID","5","BRENO3H",,"No","RUM OEJ INN BRENO","47.275933|11.464997 47.314825|11.602231 47.230019|11.401858 46.980000|11.376667","26",
"Custom","LOWI","STAR","5","MADEBHI",,"No","MADEB ELMEM LOWI02 LOWI06 NANIT ADWIG","47.324375|10.288886 47.285633|10.570739 47.5511|12.6798 47.4409|12.7051 47.701608|11.788758 47.335228|11.855681","08C",
"Custom","LOWI","STAR","5","NANITHI",,"No","NANIT LOWI12 LOWI13 ELMEM","47.701608|11.788758 47.0149|11.2533 47.3064|10.2279 47.285633|10.570739","08C",
"Custom","LOWI","STAR","5","XEBIXHI",,"No","XEBIX ELMEM LOWI02 LOWI06 NANIT ADWIG","47.400011|10.479875 47.285633|10.570739 47.5511|12.6798 47.4409|12.7051 47.701608|11.788758 47.335228|11.855681","26C",
"Custom","LOWI","STAR","5","TULSIHI",,"No","TULSI LOWI03 RUM LOWI04 LOWI05 LOWI06 NANIT ADWIG","47.701608|11.788758 47.3279|11.8561 47.275933|11.464997 47.1454|11.5037 47.3051|12.7543 47.4409|12.7051 47.701608|11.788758 47.335228|11.855681","26C",
"Custom","LOWI","STAR","5","BRENOHI",,"No","BRENO LOWI01 ELMEM LOWI02 LOWI06 NANIT ADWIG","46.980000|11.376667 47.2141|10.5527 47.285633|10.570739 47.5511|12.6798 47.4409|12.7051 47.393019|12.346436 47.335228|11.855681","26C",
"Custom","LOWI","STAR","5","NANITHI",,"No","NANIT LOWI03 RUM LOWI04 LOWI05 LOWI06 NANIT ADWIG","47.393019|12.346436 47.3279|11.8561 47.275933|11.464997 47.1454|11.5037 47.3051|12.7543 47.4409|12.7051 47.393019|12.346436 47.335228|11.855681","26C",
"Custom","LOWI","STAR","5","BRENOHI",,"No","BRENO LOWI12 LOWI13 ELMEM","46.980000|11.376667 47.0149|11.2533 47.3064|10.2279 47.285633|10.570739","08C",
"Custom","LOWI","STAR","5","TULSIHI",,"No","TULSI LOWI10 LOWI11 ELMEM",,"08C",
"Custom","LOWI","SID","5","MOGTI1X","26C","No","LOWI WI501 WI502 WI802 MOGTI","47.260278|11.343889 47.252422|11.268556 47.305667|11.086069 47.296364|10.839597 47.388981|10.716836","26C",
